Stage,Map,Tier,MonsterName,PresetName,SpriteRUID,MOVE,STAND,JUMP,HIT,DIE,ATTACK,SKILL,ATTACK2,ATTACK3,REGEN
2,Leafre,3,Skelegon,monster-2860,a12b9aab9cbd4a57862cbb14c52c6475,f5a2be84da334cbaa245fbc3b1b00dcb,a12b9aab9cbd4a57862cbb14c52c6475,,8da5f3dce573466e96e20473bbb2c4bb,62041cd19b86422d8c31d6a78b3e3ffd,bd43a1a19f98401f897743fba61f3dff,118bdca9429b4ec4b19453c8446b8545,,,
2,Ludibrium,3,Viking,monster-121,5b5052c10fc84ccdac89e603234f7644,b1c161a48efe4ec49257ba9a6f1a110d,5b5052c10fc84ccdac89e603234f7644,,79cbb91c5f6c40da96a73a4e44614031,bd2f2273f028431fa2a97e4159475215,e923b5cf097246b1a90b33eff9dbb309,,,,
2,Lion_Kings_Castle,4,Castle_Golem,monster-312,acd2364612fa46c3847e6f1d666ae9a4,acd2364612fa46c3847e6f1d666ae9a4,df23159906aa41b284992ec6ace27bc5,,7ddadcc38f7c413bacb027c69936f41d,725c9fc720714b5e81031f0b026976b2,74133f0066014d7da0451ad58a5e729a,,,,
2,Rootabyss,4,Elite_Pointy_Imp,monster-766,a20c64da737c460d9c4904000564cdc9,7f42d10d00744474a9ebd6451f1af734,a20c64da737c460d9c4904000564cdc9,,01627ecae3e14c27b4d5f53b4a3bfc21,ed9342e57d5b40418bad352ed9a26573,1bb7fecc39e0446d9368af609772a167,,,,
2,Temple_of_Time,4,Chief_Oblivion_Guardian,monster-174,38925d43c20e49589d59fa329893e543,38925d43c20e49589d59fa329893e543,f9bef89adaa24250a781a113aee11c97,,afaebabac52846d2a7edea6c390cb122,383600cf180a4f9f80baf9d1a499a8e6,434b578974ee4227876b9a29ea2532f7,,8b0ad814fcc3470db7c1b96ce5725c42,fed544ae6c8f4db6a40bb51f03d819f0,
2,Ruined_Henesys,5,Mutant_Ribbon_Pig,monster-2108,507424b0fd70487ab84818a34be6a461,507424b0fd70487ab84818a34be6a461,b2b98be5ac1f45909155ad99dce3a71f,,cc55a977a1094e97a9dbb4686a26c78c,ce6d54fb1f35451e91a10377d25e4b33,be4aced769b347f1ac2a1f362a9c148a,,d1e1ec817c154d9f9586a5a18d7424a8,,
1,Henesys,1,Snail,,7cd4ea7a2f8f4f5ead7844ce87b83399,,7cd4ea7a2f8f4f5ead7844ce87b83399,,,,,,,,
2,Perion,1,X_Stump,,9d4f9e8f572548f692438ffa817eb52d,,9d4f9e8f572548f692438ffa817eb52d,,,,,,,,
3,Vanishing_Journey,6,Black_Crescendo_Slime,monster-2100,254ced628945403891129c5357172098,efd954aee2d2487a8a312cbbce7fbfaa,254ced628945403891129c5357172098,,8b48d4a1a8a345b1a59f6836f072254a,f90b53fda8d244e79a29b97b25632afd,913415f34ec24e0c9f3d95e77b2808d3,,,,
3,ChuChu_Island,6,Shadow_Butterflies,monster-4879,cc6bacddef8a43fda63ade28774c62df,d4ed076302374fe3af7cdf807b4bc908,cc6bacddef8a43fda63ade28774c62df,,07111a099fc746938f6ded12a58816f7,cf25d2d743544c32b51cf18f2fcd30cd,b7c526c866014bbbb1e0a2fde192fbaa,,,,
3,Arcana,6,Dark_Wolf,monster-4926,92a4151b500648c1bed4ea7b9264e0e6,0fa9005a1e9b49fe9655a15c6e131c89,92a4151b500648c1bed4ea7b9264e0e6,,904cd0647369482ba342bba8f33d0dca,8731f0816df04afcba211f6b44ca5bcc,db08f2dc9cb746d4aea559ba652a94fe,,,,
3,Morass,6,Dark_Gargoyle,monster-4879,908b1c74eb39464ab5c0fefbfc9c7ab7,d4ed076302374fe3af7cdf807b4bc908,908b1c74eb39464ab5c0fefbfc9c7ab7,,07111a099fc746938f6ded12a58816f7,cf25d2d743544c32b51cf18f2fcd30cd,b7c526c866014bbbb1e0a2fde192fbaa,,,,
3,Esfera,6,Killer_Bee,monster-2100,34d0cfd058b747c094d99e0df03a83fe,efd954aee2d2487a8a312cbbce7fbfaa,34d0cfd058b747c094d99e0df03a83fe,,8b48d4a1a8a345b1a59f6836f072254a,f90b53fda8d244e79a29b97b25632afd,913415f34ec24e0c9f3d95e77b2808d3,,,,
3,Labyrinth_Of_Suffering,6,Mokadin,monster-1455,fb2d9bdd862b46eb8983832828e58c74,38c0b01311fb413abe9ea52d8ce8354d,fb2d9bdd862b46eb8983832828e58c74,,6b29f08b41f5440eacc4fff0d6d23b47,6a2c927b79c94d47b391e5bc865d6014,d8c8e3e2192a465ab6dbf7a5349874bb,,,,
3,Limina,6,Kariain,monster-3179,7270aa811ca84fcf87419b29bae7b721,ce4c55eec09e42a3addd38c0d97c8fd9,7270aa811ca84fcf87419b29bae7b721,,1b0064cd98004ccbbc621163bdb6aabc,c9a652c9f8a843aba912824a943fc206,80099d62326c469a8fbc122bbd3895a2,,,,
