EventId,Seq,PlayerAnim,NodeType,Next,BranchGroup,Reward,Text,NpcKey
TOT_KEEPER_01,4,idle,text,,,attack:20,"""내가 소중히 하지 못해 후회가 되어 버린 일들을 잊어서는 안된다.\n후회를 발판삼아 강해져 나는 후회를 할 일들을 만들지 않을 것이다!\n\n신전관리인님께서는 내가 어떤 선택을 하든 존중한다고 하셨다.\n다시는 후회를 할 일들이 생기지 않기를 바라며 기도해주셨다.\n공격력/마력이 20 올랐다.""",
TOT_KEEPER_01,5,idle,text,,,boss:20,"내가 걸어온 길에는 분명히 좋지 않은 사건들이 있었을 것이다.\n하지만 그런 기억들을 계속 품고 슬퍼하기에는,\n새로 생기는 즐거운 기억들이 너무나 많다!\n\n신전관리인님께서는 내가 어떤 선택을 하든 존중한다고 하셨다.\n괴로운 기억들에 휘둘리지 않기를 바라며 기도해주셨다.\n보스 공격력이 20 올랐다.",
RUIN_ALEX_01,1,idle,text,,,main%:5;attack%:5,"시간의 신전 안, 미래의 문을 통해 들여다 본 헤네시스는 파괴되어 있었다.\n파괴된 헤네시스의 새로운 장로 알렉스는, 나를 발견하고 말을 걸어왔다.\n\n스탄 장로님의 뒤를 이어 새로운 장로가 된 알렉스는\n과거에 불량했던 자신이 마음을 고치게 된 과거의 일들을 알려주었다.\n\n자신의 일을 다 털어놓은 알렉스는 나에게 미래를 부탁한다며 응원을 해왔다.\n그의 응원에 힘입어, 나 역시 강해지기를 굳게 마음 먹었다.\n주스탯이 5%, 공격력/마력이 5% 올랐다.",
ALL_GOLDRICH_01,1,idle,text,2,,,"마을로 돌아가던 중, 위험에 처한 사람을 발견했다!\n다급히 달려가 위협하는 몬스터들을 해치웠다.",
ALL_GOLDRICH_01,2,idle,text,3,,,"몬스터를 해치우고 돌아보자, 도와준 사람이 고맙다며 자신의 저택으로 초대했다!\n자신의 이름은 골드리치로 자신을 도와준 은혜를 베풀고 싶다고 했다.",
ALL_GOLDRICH_01,3,idle,text,,,item:Challenger_Equipment_Hat;weapon:Challenger,"골드리치는 나에게 선물이라며 귀한 장비를 선물해주었다!\n언제든지 지치면 연락하라는 말과 함께 나를 배웅해주었다.\n도전자의 장비, 도전자의 무기를 얻었다!",
VJ_KIMA_01,1,idle,text,2,,,"호숫가 건너편 절벽에 가기 위해 뱃사공 키마의 배를 탔다!\n배를 타고 이동하는데, 키마가 나에게 말을 걸어왔다.",
VJ_KIMA_01,2,idle,choice,,KIMA01_STORY,,"""키마는 나에게 호숫가 건너편 절벽에 대해 말해달라고 요청했다.\n어떤 점에 대해 말해줄까?""",
VJ_KIMA_01,3,idle,text,,,main:30;item:Dominator_Pendant,"절벽에 사는 화염새의 등에 타 비행한 이야기를 해주었다!\n키마는 무척 신기해하며 나의 이야기를 즐겁게 들었다!\n\n절벽에 도착했을 때, 키마는 고맙다며 나에게 선물을 주었다!\n주스탯이 30만큼 오르고, 보스 장신구 세트(9)를 얻었다!",
VJ_KIMA_01,4,idle,text,,,attack:20;cube:3,"절벽에 사는 다양한 몬스터들의 이야기를 해주었다!\n키마는 무서워하며 나의 이야기를 흥미롭게 들었다!\n\n절벽에 도착했을 때, 키마는 내가 몬스터에게 다치지 않도록 응원해주었다!\n공격력/마력이 20만큼 오르고, 미라클큐브(x3)를 얻었다!",
CHU_COOK_01,1,idle,text,2,,,"마스터 핥이 요리 대회를 개최하였다!\n요리에 관심이 많던 삐빅, 삐미, 삐돌은 요리 대회에 참석하려고 하는데...",
CHU_COOK_01,2,idle,choice,,COOK01_HELPER,,"삐빅, 삐미, 삐돌은 동시에 나를 조수로 데려가고 싶다고 요청했다!\n누구의 조수로 참가해야할까?",
CHU_COOK_01,3,idle,text,,,main:20;item:Dominator_Pendant,"나는 삐빅의 조수로 참가하였다!\n삐빅은 섬세하게 입맛을 돋구는 음식을 완성하였다.\n\n결과는...\n요리대회에서 우승하였다!\n\n삐빅은 보답으로 나에게 선물을 주었다.\n주스탯이 20만큼 오르고, 보스 장신구 세트(9)를 얻었다!",Bibik
CHU_COOK_01,4,idle,text,,,attack:20;item:Highness_Warrior_Helm,"나는 삐미의 조수로 참가하였다!\n삐미는 풍족하게 먹을 수 있는 음식을 완성하였다.\n\n결과는...\n요리대회에서 우승하였다!\n\n삐미는 보답으로 나에게 선물을 주었다.\n공격력/마력이 20만큼 오르고, 루타비스 세트를 얻었다!",Bimi
CHU_COOK_01,5,idle,text,,,boss:20;cube:5,"나는 삐돌의 조수로 참가하였다!\n삐돌은 완벽한 피니쉬를 자랑하는 음식을 완성하였다.\n\n결과는...\n요리대회에서 우승하였다!\n\n삐돌은 보답으로 나에게 선물을 주었다.\n보스 대미지가 20만큼 오르고, 미라클 큐브(x5)를 얻었다!",Bidol
LACH_DOLL_01,1,idle,text,2,,,"""시계탑 입구에서 꿈속의 헝겊인형이 나를 향해 손을 흔들었다!\n마주 인사를 하며 헝겊인형에게 다가갔다.""",
LACH_DOLL_01,2,idle,roll,,DOLL01_LULLABY,,"""헝겊인형은 나의 자장가를 듣고 싶다며 노래를 불러달라고 하였다.\n나는 흔쾌히 알겠다고 대답했다.""",
ARC_STONE_01,1,idle,text,2,,,"사냥터로 이동하던 중, 나무뿌리에 걸린 돌의 정령을 발견했다!\n돌의 정령을 구해줬더니, 무척 고마워하며 나를 큰 나무가 있는 곳으로 데려갔다!",
ARC_STONE_01,2,idle,choice,,STONE01_PORTAL,,"큰 나무에는 두 개의 포털이 있었는데, 돌의 정령은 내가 선택하기를 바라는 것 같다.\n어느 쪽으로 가야할까?",
ARC_STONE_01,3,idle,text,,,cube:10,"""오른쪽 포털을 이용하였다!\n그곳에는 돌의 정령이 준비한 선물이 있었다!\n미라클큐브(x10)을 얻었다!""",
ARC_STONE_01,4,idle,text,,,main:100,"왼쪽 포털을 이용하였다!\n돌의 정령들이 나를 반겨주었다.\n\n재밌게 놀고나니, 마음이 풍족해지는 기분이었다!\n주스탯이 100만큼 올랐다.",
MOR_JANG_01,1,idle,text,2,,,"날치와 놀던 쟝이, 지나가는 나를 불러세웠다!\n내가 다가가니, 쟝이 둘이 되어있었다!",
MOR_JANG_01,2,idle,choice,,JANG01_PICK,,"""두 명의 쟝은 나에게 진짜 쟝을 골라보라고 하였다.\n어느 쪽이 진짜 쟝일까?""",
MOR_JANG_01,3,idle,text,,,cube:5,"""오른쪽 쟝을 선택하였다!\n아쉽게도 오른쪽 쟝은 날치가 변한 쟝이었다.\n\n날치와 쟝은 자신들과 놀아줘서 고맙다고 선물을 전해줬다!\n미라클큐브(x5)를 얻었다.""",
MOR_JANG_01,4,idle,text,,,item:Magic_Eyepatch,"""왼쪽 쟝을 선택하였다!\n역시 왼쪽 쟝이 진짜 쟝이었다!\n\n날치와 쟝은 자신들과 놀아줘서 고맙다고 선물을 전해줬다!\n칠흑의 보스 세트(5)를 얻었다.""",
ESF_SUMET_01,1,idle,roll,,SUMET01_SEA,,"""슈멧은 나에게 에스페라 바다를 탐색하자고 제안했다!\n나는 흔쾌히 슈멧과 바다를 탐색하러 떠났다.""",
MOON_NINEHEART_01,1,idle,roll,,NINE01_WAR,,"나인하트는 거대 괴수가 보이는 간판 위에 있었다.\n내가 다가가자, 나인하트는 나에게 질문했다.\n\n메이플 연합군이 과연 거대 괴수를 물리칠 수 있을까?",
LAB_MAZE_01,1,idle,text,2,,,"""끝없는 미궁에 갇혀버렸다!\n출구를 찾으려고 했지만 왠지 같은 곳만 계속 빙빙 도는 기분이다...""",
LAB_MAZE_01,2,idle,choice,,MAZE01_PHANTOM,,"남은 체력이 별로 없는 것 같다...\n힘이 들어 바닥에 주저앉았는데, 저 멀리 환영이 보인다.\n\n환영이 나에게 오라며 손을 흔들고 있는데, 이 환영을 따라갈까?",
LAB_MAZE_01,3,idle,text,,,main%:15;weapon:Arcane_Umbra,"더이상 지체할 시간은 없다!\n흐릿한 시야로 환영에게 다가갔다.\n\n환영은 나를 출구로 데려다 주었다.\n환영의 얼굴을 보려 했으나, 환영은 벌써 사라져 있었다.\n\n환영이 사라진 자리에는 날카로운 검만이 놓여있었다.\n주스탯이 15%만큼 오르고, 아케인셰이드 무기를 얻었다.",
LAB_MAZE_01,4,idle,text,,,main%:6;item:Arcane_Umbra_Knight_Hat,"이 미궁에서는 아무도 믿을 수 없다!\n하지만 체력은 모두 소진되었고, 나는 정신을 놓치게 되었다...\n\n깨어나보니, 나는 출구에 다다라 있었다!\n내 옆에는 단단한 보호구만이 놓여있었다.\n주스탯이 6%만큼 오르고, 아케인셰이드 세트를 얻었다.",
LIM_BW_01,1,idle,text,2,,,"""검은 마법사와의 전투를 앞두고 피로 회복을 위해 잠에 들었다.""",
LIM_BW_01,2,idle,text,3,,,"""꿈에 헤네시스를 비롯해 모든 마을을 파괴하는\n검은 마법사가 등장했다!""",
LIM_BW_01,3,idle,choice,,BW01_DREAM,,"""나는 그 꿈을 보고...""",
LIM_BW_01,4,idle,text,,,attack%:24,"나는 소중한 곳을 파괴하는 검은 마법사에게 깊은 분노를 느꼈다!\n절대로 꿈의 상황은 일어나지 않도록, 내가 막을 것이다.\n\n검은 마법사를 물리치고자 하는 의지가 다시금 불타올랐다!\n공격력이 24%만큼 올랐다!",
LIM_BW_01,5,idle,text,,,main%:27,"파괴되는 마을에서 사라지는 소중한 사람들이 너무 보고 싶었다.\n\n조용히 마음 속 깊은 곳에서, 사람들을 지키고자 하는 의지가 불타올랐다.\n주스탯이 27%만큼 올랐다!",
LIM_FINAL_01,1,idle,text,2,,,"""어느덧 나는 검은마법사와의 마지막 전투를 앞두고 있었다.""",
LIM_FINAL_01,2,idle,choice,,FINAL01_PREP,,"""마지막 전투를 대비해 무엇을 하면 좋을까?""",
LIM_FINAL_01,3,idle,text,,,boss:45,"""나는 여신님께 전투에서 승리할 수 있게 도와달라고 기도했다!\n\n여신님께서 나의 기도에 응답하여 축복을 내려주셨다!\n보스 대미지가 45%만큼 올랐다!""",
LIM_FINAL_01,4,idle,text,,,main:500,"나는 그동안 내가 걸어온 길을 떠올렸다.\n나를 응원해준 친구, 스승, 그리고 동료들...\n\n소중한 경험들을 떠올리니, 다시금 의지가 타오르는 것 같다!\n주스탯이 500만큼 올랐다!",
LIM_FINAL_01,5,idle,text,,,cube:20,"장비를 점검하는 것은, 모험가의 기본이다!\n무기의 상태가 최선인지 확인해보아야겠다.\n\n메이플 연합군으로부터 장비 강화 아이템을 지원받았다!\n미라클큐브(x20)를 얻었다!",
