BranchGroup,BranchKey,Weight,Label,NextScene,Reward,ResultText
ALISIA01_GUARDIAN,great,20,,,attack:30;weapon:Fafnir;item:Highness_Warrior_Helm,"성공적으로 봉인의 수호자를 모두 물리쳤다!\n알리샤는 해방되고, 자신의 힘을 사용해 나를 탈출시켜줬다!\n\n알리샤는 무척 고마워하며 나에게 선물을 안겨줬다.\n공격력/마력이 30만큼 오르고 루타비스 세트와 루타비스 무기를 얻었다!"
KEEPER01_PATH,memory,0,추억의 길,3,,
KEEPER01_PATH,regret,0,후회의 길,4,,
KEEPER01_PATH,oblivion,0,망각의 길,5,,
KIMA01_STORY,fire,0,절벽에 사는 화염새를 탄 이야기,3,,
KIMA01_STORY,monster,0,무시무시한 몬스터의 이야기,4,,
COOK01_HELPER,bibik,0,삐빅,3,,
COOK01_HELPER,bimi,0,삐미,4,,
COOK01_HELPER,bidol,0,삐돌,5,,
STONE01_PORTAL,right,0,오른쪽,3,,
STONE01_PORTAL,left,0,왼쪽,4,,
JANG01_PICK,right,0,오른쪽,3,,
JANG01_PICK,left,0,왼쪽,4,,
MAZE01_PHANTOM,follow,0,따라간다,3,,
MAZE01_PHANTOM,notfollow,0,따라가지 않는다,4,,
BW01_DREAM,anger,0,깊은 분노를 느꼈다,4,,
BW01_DREAM,protect,0,소중한 사람들을 지키고 싶었다,5,,
FINAL01_PREP,pray,0,기도한다,3,,
FINAL01_PREP,recall,0,걸어온 길을 떠올린다,4,,
FINAL01_PREP,gear,0,장비를 점검한다,5,,
DOLL01_LULLABY,fail,20,,,main:10,"열심히 노래를 불렀지만, 오히려 헝겊인형을 불쾌하게 한 것 같다!\n헝겊인형은 짜증을내며 나를 황급히 내쫓았다.\n\n좀 더 노래실력을 갈고 닦아야 할 것 같다...\n주스탯이 10만큼 올랐다."
DOLL01_LULLABY,success,50,,,attack%:5,"헝겊인형은 꾸벅꾸벅 졸더니 잠을 자기 시작했다!\n\n다음날 일어난 헝겊인형이 고맙다며 선물을 전해줬다!\n공격력/마력이 5%만큼 올랐다."
DOLL01_LULLABY,great,30,,,boss:5;item:Magic_Eyepatch,"헝겊인형은 꾸벅꾸벅 졸더니 잠을 자기 시작했다!\n무척 좋은 꿈을 꾸는 것 같다.\n\n다음날 일어난 헝겊인형은 활짝 웃으며 선물을 전해줬다!\n보스 대미지가 5%만큼 오르고, 칠흑의 보스 세트(5)를 얻었다!"
SUMET01_SEA,fail,20,,,main%:6,"바다를 탐색했지만, 있는 것은 별로 없었다.\n아쉽지만 오늘의 탐색은 이것으로 마쳤다.\n주스탯이 6%만큼 올랐다."
SUMET01_SEA,success,50,,,weapon:Arcane_Umbra,"바다를 탐색하던 중, 날카로운 무언가를 발견했다!\n꺼내보니, 고대의 무기였다.\n\n슈멧은 수고했다며 발견한 무기를 나에게 건네주었다.\n아케인셰이드 무기를 얻었다!"
SUMET01_SEA,great,30,,,item:Arcane_Umbra_Knight_Hat;weapon:Arcane_Umbra;cube:4,"바다를 탐색하던 중, 묵직한 무언가를 발견했다!\n힘겹게 꺼내보니, 거대한 보물상자였다!\n\n슈멧은 수고했다며 발견한 보물상자를 나에게 넘겼다!\n아케인셰이드 세트, 아케인셰이드 무기, 미라클 큐브(x4)를 얻었다!"
NINE01_WAR,fail,50,,,attack%:15;cube:20,"아니, 우리는 성공할 것이다.\n나인하트와 연합군의 사기를 올리기 위해 더 열심히 전투에 임했다!\n\n메이플 연합군의 사기가 돌아왔다!\n기운을 회복한 나인하트가 나에게 선물을 주었다.\n공격력/마력이 15%만큼 오르고 미라클큐브(x20)를 얻었다!"
NINE01_WAR,success,40,,,item:Arcane_Umbra_Knight_Hat;weapon:Arcane_Umbra,"메이플 연합군과 나의 힘이라면 절대 질 수 없다!\n연합군과 함께 많은 적을 토벌하였다!\n\n많은 전리품을 획득하였다.\n아케인셰이드 세트와 아케인셰이드 무기를 얻었다!"
NINE01_WAR,great,10,,,item:Dreamy_Belt;cube:10,"우리의 수많은 함대, 연합군의 의지는 쉽게 꺾이지 않는다!\n거대 괴수와의 전투 끝에, 우리 연합군이 승리하였다!\n\n귀중한 전리품과, 연합군의 선물이 쏟아졌다!\n칠흑의 보스 세트(7), 미라클 큐브(x10)를 얻었다!"
