Stage,TileIndex,Tier,Branch,Type,Region,BranchText
2,58,4,A,HuntPlus,Rootabyss,
2,59,4,A,Village,Rootabyss,
2,60,4,A,Boss,Rootabyss,
2,53,4,B,Village,Temple_of_Time,
2,54,4,B,HuntPlus,Temple_of_Time,
2,55,4,B,HuntPlus,Temple_of_Time,
2,56,4,B,Hunt,Temple_of_Time,
2,57,4,B,Village,Temple_of_Time,
2,58,4,B,Boss,Temple_of_Time,
2,59,4,B,Boss,Temple_of_Time,
2,60,4,B,Village,Temple_of_Time,
2,61,4,,Hunt,Rootabyss,
2,62,5,,Hunt,Ruined_Henesys,
2,63,5,,Village,Ruined_Henesys,
2,64,5,,Village,Ruined_Henesys,
2,65,5,,Hunt,Ruined_Henesys,
2,66,5,,Boss,Ruined_Henesys,
2,67,5,,Hunt,Ruined_Henesys,
2,68,5,,Hunt,Ruined_Henesys,
2,69,5,,HuntPlus,Ruined_Henesys,
2,70,5,,Tax,Ruined_Henesys,
2,71,5,,Boss,Ruined_Henesys,
2,72,5,,Hunt,Ruined_Henesys,
2,73,5,,HuntPlus,Ruined_Henesys,
2,74,5,,Village,Ruined_Henesys,
2,75,5,,Village,Ruined_Henesys,
2,76,5,,Boss,Ruined_Henesys,
2,77,5,,End,Ruined_Henesys,
3,1,1,,Start,Vanishing_Journey,
3,2,1,,Hunt,Vanishing_Journey,
3,3,1,,HuntPlus,Vanishing_Journey,
3,4,1,,Village,Vanishing_Journey,
3,5,1,BRANCH,Guild,Vanishing_Journey,
3,6,1,A,HuntPlus,Vanishing_Journey,
3,7,1,A,Village,Vanishing_Journey,
3,8,1,A,Tax,Vanishing_Journey,
3,9,1,A,Guild,Vanishing_Journey,
3,10,1,A,Guild,Vanishing_Journey,
3,11,1,A,Boss,Vanishing_Journey,
3,12,1,A,Guild,Vanishing_Journey,
3,13,1,A,Boss,Vanishing_Journey,
3,6,1,B,Guild,Reverse_City,
3,7,1,B,Guild,Reverse_City,
3,8,1,B,Boss,Reverse_City,
3,9,1,B,HuntPlus,Reverse_City,
3,10,1,B,Village,Reverse_City,
3,11,1,B,Guild,Reverse_City,
3,12,1,B,Tax,Reverse_City,
3,13,1,B,Boss,Reverse_City,
3,14,2,,Hunt,ChuChu_Island,
3,15,2,,Tax,ChuChu_Island,
3,16,2,,Guild,ChuChu_Island,
3,17,2,,Guild,ChuChu_Island,
3,18,2,BRANCH,Village,ChuChu_Island,
3,19,2,A,HuntPlus,ChuChu_Island,
3,20,2,A,Guild,ChuChu_Island,
3,21,2,A,Boss,ChuChu_Island,
3,22,2,A,Guild,ChuChu_Island,
3,23,2,A,Village,ChuChu_Island,
3,24,2,A,HuntPlus,ChuChu_Island,
3,25,2,A,Boss,ChuChu_Island,
3,19,2,B,Boss,YumYum_Island,
3,20,2,B,HuntPlus,YumYum_Island,
3,21,2,B,HuntPlus,YumYum_Island,
3,22,2,B,Boss,YumYum_Island,
3,23,2,B,Guild,YumYum_Island,
3,24,2,B,Guild,YumYum_Island,
3,25,2,B,Village,YumYum_Island,
3,26,3,,HuntPlus,Lachelein,
3,27,3,,Guild,Lachelein,
3,28,3,BRANCH,Hunt,Lachelein,
3,29,3,A,Tax,Lachelein,
3,30,3,A,Village,Lachelein,
3,31,3,A,HuntPlus,Lachelein,
3,32,3,A,Guild,Lachelein,
3,33,3,A,Boss,Lachelein,
3,34,3,A,Boss,Lachelein,
3,35,3,A,Guild,Lachelein,
3,36,3,A,Boss,Lachelein,
3,29,3,B,Guild,Lachelein,
3,30,3,B,Guild,Lachelein,
3,31,3,B,Boss,Lachelein,
3,32,3,B,HuntPlus,Lachelein,
3,33,3,B,Tax,Lachelein,
3,34,3,B,Boss,Lachelein,
3,35,3,B,Village,Lachelein,
3,36,3,B,Boss,Lachelein,
3,37,3,,HuntPlus,Lachelein,
3,38,3,,Hunt,Lachelein,
3,39,3,,Boss,Lachelein,
3,40,3,,Village,Lachelein,
3,41,4,,Guild,Arcana,
3,42,4,,Boss,Arcana,
3,43,4,,Village,Arcana,
3,44,4,,Guild,Arcana,
3,45,4,,Hunt,Arcana,
3,46,4,,Boss,Arcana,
3,47,4,,HuntPlus,Arcana,
3,48,4,,Tax,Arcana,
3,49,4,,HuntPlus,Arcana,
3,50,4,,Guild,Arcana,
3,51,4,,Boss,Arcana,
3,52,4,,Village,Arcana,
3,53,5,BRANCH,HuntPlus,Morass,
3,54,5,A,Village,Morass,
3,55,5,A,Guild,Morass,
3,56,5,A,Guild,Morass,
3,57,5,A,Guild,Morass,
3,58,5,A,Boss,Morass,
3,59,5,A,Boss,Morass,
3,60,5,A,Hunt,Morass,
3,61,5,A,Village,Morass,
3,54,5,B,Boss,Morass,
3,55,5,B,Hunt,Morass,
3,56,5,B,Village,Morass,
3,57,5,B,Village,Morass,
3,58,5,B,Guild,Morass,
3,59,5,B,Guild,Morass,
3,60,5,B,Guild,Morass,
3,61,5,B,Boss,Morass,
3,62,5,,HuntPlus,Morass,
3,63,5,,Tax,Morass,
3,64,5,,Village,Morass,
3,65,6,,Guild,Esfera,
3,66,6,BRANCH,HuntPlus,Esfera,
3,67,6,A,HuntPlus,Esfera,
3,68,6,A,Boss,Esfera,
3,69,6,A,HuntPlus,Esfera,
3,70,6,A,Guild,Esfera,
3,71,6,A,Boss,Esfera,
3,72,6,A,Tax,Esfera,
3,73,6,A,Village,Esfera,
3,74,6,A,Boss,Esfera,
3,67,6,B,Boss,Esfera,
3,68,6,B,HuntPlus,Esfera,
3,69,6,B,Tax,Esfera,
3,70,6,B,Boss,Esfera,
3,71,6,B,HuntPlus,Esfera,
3,72,6,B,Guild,Esfera,
3,73,6,B,Boss,Esfera,
3,74,6,B,Village,Esfera,
3,75,6,,Guild,Esfera,
3,76,6,,Hunt,Esfera,
3,77,6,,Village,Esfera,
3,78,6,,Boss,Esfera,
3,79,6,,Village,Esfera,
3,80,7,,Boss,Sellas,
3,81,7,,Tax,Sellas,
3,82,7,BRANCH,HuntPlus,Sellas,
3,83,7,A,Village,Sellas,
3,84,7,A,Guild,Sellas,
3,85,7,A,Hunt,Sellas,
3,86,7,A,Village,Sellas,
3,87,7,A,Boss,Sellas,
3,83,7,B,Guild,Sellas,
3,84,7,B,Boss,Sellas,
3,85,7,B,Village,Sellas,
3,86,7,B,Village,Sellas,
3,87,7,B,Hunt,Sellas,
3,88,7,,HuntPlus,Sellas,
3,89,7,,Village,Sellas,
3,90,7,,Guild,Sellas,
3,91,7,,Boss,Sellas,
3,92,8,,HuntPlus,Moonbridge,
3,93,8,,Guild,Moonbridge,
3,94,8,,Guild,Moonbridge,
3,95,8,,Boss,Moonbridge,
3,96,8,,Hunt,Moonbridge,
3,97,8,BRANCH,HuntPlus,Moonbridge,
3,98,8,A,Boss,Moonbridge,
3,99,8,A,Boss,Moonbridge,
3,100,8,A,Tax,Moonbridge,
3,101,8,A,Village,Moonbridge,
3,102,8,A,Boss,Moonbridge,
3,103,8,A,Village,Moonbridge,
3,104,8,A,Guild,Moonbridge,
3,105,8,A,HuntPlus,Moonbridge,
3,98,8,B,Village,Moonbridge,
3,99,8,B,Guild,Moonbridge,
3,100,8,B,Village,Moonbridge,
3,101,8,B,Tax,Moonbridge,
3,102,8,B,Boss,Moonbridge,
3,103,8,B,Boss,Moonbridge,
3,104,8,B,HuntPlus,Moonbridge,
3,105,8,B,Boss,Moonbridge,
3,106,8,,Village,Moonbridge,
3,107,9,,Hunt,Labyrinth_Of_Suffering,
3,108,9,,Guild,Labyrinth_Of_Suffering,
3,109,9,,Tax,Labyrinth_Of_Suffering,
3,110,9,,Boss,Labyrinth_Of_Suffering,
3,111,9,,Boss,Labyrinth_Of_Suffering,
3,112,9,BRANCH,HuntPlus,Labyrinth_Of_Suffering,
3,113,9,A,Hunt,Labyrinth_Of_Suffering,
3,114,9,A,Boss,Labyrinth_Of_Suffering,
3,115,9,A,Boss,Labyrinth_Of_Suffering,
3,116,9,A,Village,Labyrinth_Of_Suffering,
3,117,9,A,Village,Labyrinth_Of_Suffering,
3,118,9,A,Guild,Labyrinth_Of_Suffering,
3,119,9,A,Guild,Labyrinth_Of_Suffering,
3,113,9,B,Village,Labyrinth_Of_Suffering,
3,114,9,B,Guild,Labyrinth_Of_Suffering,
3,115,9,B,Guild,Labyrinth_Of_Suffering,
3,116,9,B,Hunt,Labyrinth_Of_Suffering,
3,117,9,B,Village,Labyrinth_Of_Suffering,
3,118,9,B,Boss,Labyrinth_Of_Suffering,
3,119,9,B,Boss,Labyrinth_Of_Suffering,
3,120,9,,HuntPlus,Labyrinth_Of_Suffering,
3,121,10,,Tax,Limina,
3,122,10,,Hunt,Limina,
3,123,10,,Boss,Limina,
3,124,10,,Guild,Limina,
3,125,10,,HuntPlus,Limina,
3,126,10,,Boss,Limina,
3,127,10,,HuntPlus,Limina,
3,128,10,,Guild,Limina,
3,129,10,,Village,Limina,
3,130,10,,Boss,Limina,
3,131,10,,Boss,Limina,
3,132,10,,Village,Limina,
3,133,10,,End,Limina,
